,,Licenses,"Copies of any licenses, reseller, distribution or similar agreements under which the Company receives or licenses software or technology to or from third parties."
Environmental and Related Matters,,,
,Liability Under CERCLA or Analogous State Laws,,"A list and description of matters where the Company allegedly or potentially has liability under CERCLA or analogous state laws, including the name and location of the site, status of the matter, projected cleanup cost, number of potentially responsible parties (""PRPs""), any volume or cost allocation attributed to the Company, rank-order as a PRP, and the Company’s estimation of the Company’s ultimate cost allocation."
,Previous Owned or Operated Facilities,,"List and describe previously owned or operated facilities (address, period of operation, nature of use and production there, prior use, disposition)."
,Environmental Compliance,,"Description of how the Company ensures the Company’s environmental compliance (e.g., responsibility, staffing, training, incentives, audits, etc.).  Copies of the Company’s environmental policy, compliance manuals, training manuals, audit manuals, and audit reports."
,"Environmental Permits, Certificates or Licenses",,"List (by facility) and copies of environmental permits, certificates, or licenses issued by federal, state, or local authorities"
,"Hazardous Substances, Petroleum or Hazardous Materials",,"List of spills or other release of hazardous substances, petroleum, or hazardous materials.   Any reports reflecting sampling or other assessment of potential contamination at facilities either presently or formerly owned or operated. "
,Records & Reports Relating to Environmental Compliance,,Copies of other records and reports relating to environmental compliance.
Miscellaneous,,,
,All Other Materials & Documents Involving the Company,,"All other materials and documents involving the Company, not otherwise covered by the foregoing items, which may be material to the business or prospects of the Company or which should be reviewed in making disclosures regarding the business and financial condition of the Company."
