Row #,Question Type,Question Text,Acceptable Options,Answer Given
1,No questionnaire question for: Is it accruing?,"","",N/A
1,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
1,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
1,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",None
1,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]",1 vote per common share
1,No questionnaire question for: What are the anti-dilution provisions?,"","",None
1,"No questionnaire question for: Are there any unique features or provisions? If so, what are they?","","",None
1,NumericQuestion,What are the legal fees for investor counsel?,"[""Number""]","$15-20,000"
1,DropdownQuestion,Are there any investment banker fees?,"[""Yes"", ""No""]",None
1,ChecklistQuestion,What is the securities exemption relied upon?,"[""Rule 504(b)(1)(not (i), (ii), or (iii))"", ""Rule 504(b)(1)(i)"", ""Rule 504(b)(1)(ii)"", ""Rule 504(b)(1)(iii)"", ""Rule 505"", ""Rule 506(b)"", ""Rule 506(c)"", ""Securities Act Section 4(a)(5)"", ""Investment Company Act Section 3(c)"", ""Section 3(c)(1)"", ""Section 3(c)(2), Section 3(c)(3)"", ""Section 3(c)(4)"", ""Section 3(c)(5)"", ""Section 3(c)(6)"", ""Section 3(c)(7)"", ""Section 3(c)(8)"", ""Section 3(c)(9)"", ""Section 3(c)(10)"", ""Section 3(c)(11)"", ""Section 3(c)(12)"", ""Section 3(c)(13)"", ""Section 3(c)(14)""]",Rule 506
2,No questionnaire question for: What specific product line does the company make?,"","",N/A
2,NumericQuestion,What is the amount of financing?,"[""Number""]","$1,800,000.00 (maximum)"
2,NumericQuestion,Pre-Money Valuation,"[""Number""]","$2,000,000.00 "
2,No questionnaire question for: Is there a dividend payment?,"","",n/a
2,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",N/A
2,No questionnaire question for: Is it accruing?,"","",N/A
2,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
2,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
2,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",1:1 Common Stock
2,ChecklistQuestion,What are the participation rights?,"[""None"", ""Non-Participating"", ""Participating"", ""Participating with a Cap""]",Pro rata in subsequent issuance of equity securities
2,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]","Approval of majority of series seed required to (i) adversely change rights of series seed; (ii) redeem/repurchase any capital stock of company; (iii) liquidate/dissolve; (iv) acquire material amount of assets through merger/purchase of all or substantially all of assets of capital stock of another entity; (v) approve any merger, sale of assets or other corporate reorg or acquisition; or (vi) authorize or createnew class/series of shares"
2,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]","Approval of majority of series seed required to (i) adversely change rights of series seed; (ii) redeem/repurchase any capital stock of company; (iii) liquidate/dissolve; (iv) acquire material amount of assets through merger/purchase of all or substantially all of assets of capital stock of another entity; (v) approve any merger, sale of assets or other corporate reorg or acquisition; or (vi) authorize or createnew class/series of shares"
2,No questionnaire question for: What are the anti-dilution provisions?,"","",n/a
2,"No questionnaire question for: Are there any unique features or provisions? If so, what are they?","","",n/a
2,DropdownQuestion,Are there any investment banker fees?,"[""Yes"", ""No""]",n/a
2,ChecklistQuestion,What is the securities exemption relied upon?,"[""Rule 504(b)(1)(not (i), (ii), or (iii))"", ""Rule 504(b)(1)(i)"", ""Rule 504(b)(1)(ii)"", ""Rule 504(b)(1)(iii)"", ""Rule 505"", ""Rule 506(b)"", ""Rule 506(c)"", ""Securities Act Section 4(a)(5)"", ""Investment Company Act Section 3(c)"", ""Section 3(c)(1)"", ""Section 3(c)(2), Section 3(c)(3)"", ""Section 3(c)(4)"", ""Section 3(c)(5)"", ""Section 3(c)(6)"", ""Section 3(c)(7)"", ""Section 3(c)(8)"", ""Section 3(c)(9)"", ""Section 3(c)(10)"", ""Section 3(c)(11)"", ""Section 3(c)(12)"", ""Section 3(c)(13)"", ""Section 3(c)(14)""]",506(b)
3,No questionnaire question for: What specific product line does the company make?,"","",N/A
3,NumericQuestion,What is the amount of financing?,"[""Number""]","$3,000,000.00 new money plus the conversion of $3.75M of convertible promissory notes"
3,NumericQuestion,Pre-Money Valuation,"[""Number""]","$9,500,000.00 "
3,No questionnaire question for: Is there a dividend payment?,"","",N/A
3,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",N/A
3,No questionnaire question for: Is it accruing?,"","",N/A
3,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
3,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
3,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",1:1 to Common Stock
3,ChecklistQuestion,What are the participation rights?,"[""None"", ""Non-Participating"", ""Participating"", ""Participating with a Cap""]",n/a
3,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]",See BD folder for full description.
3,No questionnaire question for: What are the anti-dilution provisions?,"","",Broad-based weighted average
3,"No questionnaire question for: Are there any unique features or provisions? If so, what are they?","","",n/a
3,DropdownQuestion,Are there any investment banker fees?,"[""Yes"", ""No""]",n/a
3,ChecklistQuestion,What is the securities exemption relied upon?,"[""Rule 504(b)(1)(not (i), (ii), or (iii))"", ""Rule 504(b)(1)(i)"", ""Rule 504(b)(1)(ii)"", ""Rule 504(b)(1)(iii)"", ""Rule 505"", ""Rule 506(b)"", ""Rule 506(c)"", ""Securities Act Section 4(a)(5)"", ""Investment Company Act Section 3(c)"", ""Section 3(c)(1)"", ""Section 3(c)(2), Section 3(c)(3)"", ""Section 3(c)(4)"", ""Section 3(c)(5)"", ""Section 3(c)(6)"", ""Section 3(c)(7)"", ""Section 3(c)(8)"", ""Section 3(c)(9)"", ""Section 3(c)(10)"", ""Section 3(c)(11)"", ""Section 3(c)(12)"", ""Section 3(c)(13)"", ""Section 3(c)(14)""]",506(b)
4,No questionnaire question for: What specific product line does the company make?,"","",N/A
4,NumericQuestion,Pre-Money Valuation,"[""Number""]","$1,500,000 (first capital raise)"
4,No questionnaire question for: Is there a dividend payment?,"","",None required
4,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",N/A
4,No questionnaire question for: Is it accruing?,"","",N/A
4,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
4,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
4,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",None
4,ChecklistQuestion,What are the participation rights?,"[""None"", ""Non-Participating"", ""Participating"", ""Participating with a Cap""]",Participates pro rata with common after return of 1x capital
4,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]",non-voting except with respect to amendment/waiver of operating agreement
4,No questionnaire question for: What are the anti-dilution provisions?,"","",None
4,"No questionnaire question for: Are there any unique features or provisions? If so, what are they?","","",1st closing on LocalStake's broker-dealer platform
4,DropdownQuestion,Are there any investment banker fees?,"[""Yes"", ""No""]",None
4,ChecklistQuestion,What is the securities exemption relied upon?,"[""Rule 504(b)(1)(not (i), (ii), or (iii))"", ""Rule 504(b)(1)(i)"", ""Rule 504(b)(1)(ii)"", ""Rule 504(b)(1)(iii)"", ""Rule 505"", ""Rule 506(b)"", ""Rule 506(c)"", ""Securities Act Section 4(a)(5)"", ""Investment Company Act Section 3(c)"", ""Section 3(c)(1)"", ""Section 3(c)(2), Section 3(c)(3)"", ""Section 3(c)(4)"", ""Section 3(c)(5)"", ""Section 3(c)(6)"", ""Section 3(c)(7)"", ""Section 3(c)(8)"", ""Section 3(c)(9)"", ""Section 3(c)(10)"", ""Section 3(c)(11)"", ""Section 3(c)(12)"", ""Section 3(c)(13)"", ""Section 3(c)(14)""]",Rule 504 and Indiana ULOE
5,No questionnaire question for: What specific product line does the company make?,"","",N/A
5,NumericQuestion,What is the amount of financing?,"[""Number""]","$750,000  in notes subject to warrant"
5,NumericQuestion,Pre-Money Valuation,"[""Number""]","$5,000,000.00 "
5,No questionnaire question for: Is there a dividend payment?,"","",UNKNOWN
5,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",N/A
5,No questionnaire question for: Is it accruing?,"","",N/A
5,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
5,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
5,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",UNKNOWN
5,ChecklistQuestion,What are the participation rights?,"[""None"", ""Non-Participating"", ""Participating"", ""Participating with a Cap""]",UNKNOWN
5,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]",UNKNOWN
5,No questionnaire question for: What are the anti-dilution provisions?,"","",UNKNOWN
5,"No questionnaire question for: Are there any unique features or provisions? If so, what are they?","","",UNKNOWN
5,DropdownQuestion,Are there any investment banker fees?,"[""Yes"", ""No""]",N/A
5,ChecklistQuestion,What is the securities exemption relied upon?,"[""Rule 504(b)(1)(not (i), (ii), or (iii))"", ""Rule 504(b)(1)(i)"", ""Rule 504(b)(1)(ii)"", ""Rule 504(b)(1)(iii)"", ""Rule 505"", ""Rule 506(b)"", ""Rule 506(c)"", ""Securities Act Section 4(a)(5)"", ""Investment Company Act Section 3(c)"", ""Section 3(c)(1)"", ""Section 3(c)(2), Section 3(c)(3)"", ""Section 3(c)(4)"", ""Section 3(c)(5)"", ""Section 3(c)(6)"", ""Section 3(c)(7)"", ""Section 3(c)(8)"", ""Section 3(c)(9)"", ""Section 3(c)(10)"", ""Section 3(c)(11)"", ""Section 3(c)(12)"", ""Section 3(c)(13)"", ""Section 3(c)(14)""]",506(b)
6,No questionnaire question for: What specific product line does the company make?,"","",N/A
6,NumericQuestion,Pre-Money Valuation,"[""Number""]","Approx. $6,000,000"
6,No questionnaire question for: Is there a dividend payment?,"","",No accruing dividend
6,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",N/A
6,No questionnaire question for: Is it accruing?,"","",N/A
6,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
6,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
6,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",Optional and mandatory
6,ChecklistQuestion,What are the participation rights?,"[""None"", ""Non-Participating"", ""Participating"", ""Participating with a Cap""]",Series A Preferred Stock have uncapped participation rights
6,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]","Votes with common on all matters submitted to vote of stockholders, customary Series A protective provisions"
6,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]","Votes with common on all matters submitted to vote of stockholders, customary Series A protective provisions"
6,No questionnaire question for: What are the anti-dilution provisions?,"","",Broad-based weighted average anti-dilution
6,"No questionnaire question for: Are there any unique features or provisions? If so, what are they?","","",None
6,DropdownQuestion,Are there any investment banker fees?,"[""Yes"", ""No""]",None
7,No questionnaire question for: What specific product line does the company make?,"","",N/A
7,NumericQuestion,What is the amount of financing?,"[""Number""]","Up to $150,000 in preferred e quity and up to an additional $100,000 in a revolving note basis"
7,NumericQuestion,Pre-Money Valuation,"[""Number""]","$100,000 ($150,000 investment gets 50% of common equity initially)"
7,No questionnaire question for: Is there a dividend payment?,"","",Yes
7,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]","5% preferred dividend, 6% interest on note"
7,No questionnaire question for: Is it accruing?,"","",N/A
7,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
7,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
7,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",None
7,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]","Votes with common on all matters submitted to vote of members, limited protective provisions"
7,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]","Votes with common on all matters submitted to vote of members, limited protective provisions"
7,No questionnaire question for: What are the anti-dilution provisions?,"","",None
7,"No questionnaire question for: Are there any unique features or provisions? If so, what are they?","","",Operators have chance to earn up to an additional 9% of the common equity based on perforamnce milestones
7,DropdownQuestion,Are there any investment banker fees?,"[""Yes"", ""No""]",None
8,No questionnaire question for: What specific product line does the company make?,"","",N/A
8,NumericQuestion,What is the amount of financing?,"[""Number""]","$2,440,866.00 (divided in three tranches; the initial closing was for $1,220,443.00)"
8,NumericQuestion,Pre-Money Valuation,"[""Number""]","$4,890,000.00 "
8,No questionnaire question for: Is there a dividend payment?,"","",None
8,DropdownQuestion,What is the rate?,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""20""]",N/A
8,No questionnaire question for: Is it accruing?,"","",N/A
8,DropdownQuestion,Is it cumulative?,"[""Yes"", ""No""]",N/A
8,DropdownQuestion,Is it a PIK dividend?,"[""Yes"", ""No""]",N/A
8,ChecklistQuestion,What are the conversion rights?,"[""Optional"", ""Mandatory"", ""Qualified IPO""]",None
8,ChecklistQuestion,What are the voting rights and protective provisions?,"[""Shares issued upon conversion of the Preferred, Shares or options, warrants or other rights issued to employees, consultants or directors in accordance with plans, agreements or similar arrangements, but not to exceed a total of [_____] shares issued after he closing date (or such greater number as unanimously approved by the board)"", ""Shares issued upon exercise of options, warrants or convertible securities existing on the closing date"", ""Shares issued as a dividend or distribution on Preferred or for which adjustment is otherwise made pursuant to the certificate of incorporation (e.g. stock splits)"", ""Shares issued in connection with a registered public offering"", ""Shares issued or issuable pursuant to an acquisition of another corporation or a joint venture agreement approved by the board"", ""Shares issued or issuable to banks, equipment lessors or other financial institutions pursuant to debt financing or commercial transactions approved by the board"", ""Shares issued or issuable in connection with any settlement approved by the board"", ""Shares issued or issuable in connection with sponsored research, collaboration, technology license, development, OEM, marketing or other similar arrangements or strategic partnerships approved by the board"", ""Shares issued to suppliers of goods or services in connection with the provision of goods or services pursuant to transactions approved by the board"", ""Shares that are otherwise excluded by consent of holders of a majority of the Preferred""]",See document 5818317.
8,No questionnaire question for: What are the anti-dilution provisions?,"","",See document 5818317.
